No.,도메인,세부 도메인,의도 (Intention),문장
128,차량 제어,속도 제어,주행 속도 세팅,내가 달릴 속도 세팅해서 주행해 줄래?
129,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 얼마나 되는지 가르쳐 줘.
130,차량 제어,좌석 제어,좌석 온도 올리기,혹시 모든 좌석 따뜻하게 설정해 줄 수 있을까?
131,차선 제어,차선 변경,오른쪽으로 차선 변경,뒤 차 비켜주게 우측으로 차선 이동하자.
132,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 주행 기록 쭉 불러 줘.
133,비상 제어,차량 비상 정지,비상 정지 모드 켜기,주차장까지 비상 정지 모드 켜 줄래?
134,차량 제어,속도 제어,주행 속도 세팅,속도 조금씩 올려 줘.
135,차량 제어,공조 제어,에어컨 제어,에어컨 파워 냉방으로 전환해 줘.
136,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 얼마나 다녔어?
137,주행 정보,주행 기록,자율 주행 주행 기록,너에게 기록된 모든 자율 주행 기록을 정리해 줘.
138,비상 제어,보험사 연락,자동 보험사 연락,차 배터리 방전되면 자동으로 보험사랑 통화되게 해 줘.
139,차량 제어,공조 제어,에어컨 제어,에어컨 바람 회전해 줘.
140,주행 정보,주행 기록,자율 주행 주행 기록,총 자율 주행 누적 시간 계산해 줘.
141,차량 제어,운전 제어,일자 추월,앞에 있는 택시 추월해 줘.
142,비상 제어,보험사 연락,자동 보험사 연락,보험사에 저절로 연락 가게 해 줘.
143,차량 제어,도어 제어,전체 차문 닫기,안 닫힌 모든 차 문 다 닫아.
144,주행 정보,주행 기록,자율 주행 주행 기록,최근 이 개월 동안의 자율 주행 기록 보여 줘.
145,차선 제어,차선 변경,차선 변경,이 차선으로 차선 변경 도와주겠니?
146,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 모드 끄고 이동해 줘.
147,차량 제어,운전 제어,일자 따라 가기,내 앞에 있는 차 뒤에 붙어서 가자.
148,비상 제어,보험사 연락,자동 보험사 연락,자동으로 보험사에 연락 해야 할 상황이야.
149,차선 제어,차선 변경,차선 변경,주행 차선으로 바꿔 봐.
150,차량 제어,도어 제어,전체 차문 열기,모두 다 타야 하니까 전체 차 문 동시에 다 같이 열어 줘.
151,차량 제어,운전 제어,일자 추월,앞에 있는 차 앞지르기 해 버리자.
152,차량 제어,도어 제어,전체 차문 열기,무슨 냄새가 나는데 차 문 다 열어 줘 환기 해야겠어.
153,차량 제어,창문 제어,전체 창문 닫기,조용히 운전하고 싶으니 전체 창문 위로 올려 줘.
154,차량 제어,도어 제어,전체 차문 열기,이제 출발하니까 모든 문 닫아 줘.
155,차량 제어,운전 제어,일자 추월,빠르게 가서 앞 차를 추월하기 바랍니다.
156,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율모드로 운전하겠습니다.
157,비상 제어,보험사 연락,자동 보험사 연락,보험사 자동으로 연락할 수 있게 해 줄래?
158,차량 제어,운전 제어,일자 추월,앞 차보다 빨리 가야 할 듯해.
159,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에 차 좀 댈게.
160,차량 제어,운전 제어,일자 따라 가기,내 앞 차 따라 속도 내 줄래?
161,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 갔던 곳 어디야?
162,비상 제어,차량 비상 정지,비상 정지 모드 켜기,차 수리할 동안 비상 정지 모드 켜 줘.
163,차량 제어,속도 제어,주행 속도 세팅,시내 주행 속도는 시속 육십 킬로미터를 넘지 않도록 해 줘.
164,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 이동해서 정차할게.
165,주행 정보,주행 기록,자율 주행 주행 기록,오늘의 자율 주행 내용 요약해 줘.
166,차량 제어,운전 제어,일자 따라 가기,앞 차랑 일 키로 거리 유지하면서 계속 따라 가.
167,비상 제어,보험사 연락,자동 보험사 연락,현대보험사에 연락해 줄래?
168,차량 제어,운전 제어,일자 따라 가기,전방에 있는 흰색 차 가는 대로 따라 가 줘.
169,차선 제어,갓길 이동 정차,갓길 이동 명령,건물 좀 확인하게 앞에 갓길에 잠깐 세워 줘.
170,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 띄워 줘.
171,비상 제어,보험사 연락,자동 보험사 연락,혹시 사고 나면 보험사에 자동으로 전화 해 줄 수 있어?
172,차량 제어,공조 제어,히터 제어,히터 너무 강하지 않게 틀어 줘.
173,차량 제어,운전 제어,일자 추월,속도 좀 높여서 앞 차 이겨 줘.
174,주행 정보,주행 기록,자율 주행 주행 기록,여태까지 자율 주행으로 얼마나 다녔는지 알려 줘.
175,차량 제어,긴급 차량,에스오에스차량 양보,구급차 지나가면 양보해.
176,차량 제어,속도 제어,주행 속도 세팅,도로 제한 속도까지 주행 속도 단계적으로 올려 줘.
177,차량 제어,도어 제어,뒷자리 차문 닫기,뒷좌석 문 잠금 장치 완료.
178,차량 제어,공조 제어,히터 제어,이 도 이상 높여 줘.
179,차량 제어,도어 제어,조수석 차문 닫기,조수석 빨리 문 닫아 줘.
180,차량 제어,도어 제어,전체 차문 닫기,출발 시 모든 차문 잠금 해 줘.
181,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 이동한 거리 표시해 봐.
182,차량 제어,좌석 제어,좌석 통풍 켜기,시트 바람 통하게 해 줘.
183,차량 제어,창문 제어,전체 창문 닫기,전체 창문 전부 닫아.
184,차량 제어,좌석 제어,좌석 온도 내리기,시트 온도가 일도 낮았으면 좋겠어.
185,차량 제어,도어 제어,조수석 차문 열기,지금 조수석에 손님 타야 하니까 열어 줘.
186,차량 제어,자율 주행 시작,자율 주행 모드 시작,고속도로에서만 자율 주행 해 줘.
187,차량 제어,속도 제어,주행 속도 세팅,터널 안에서 주행 속도 줄여서 운전해 줘.
188,차량 제어,도어 제어,전체 차문 닫기,전체 차 문 자동 닫힘 적용해 줘.
189,차량 제어,속도 제어,주행 속도 세팅, 좀 더 빠르게 달리자.
190,차선 제어,차선 변경,오른쪽으로 차선 변경,지금 비어 있는 우측 차선으로 바꿔.
191,차량 제어,좌석 제어,좌석 온도 올리기,좌석 온도를 올려 줬으면 좋겠어.
192,주행 정보,주행 기록,자율 주행 주행 기록,최근에 자율 주행 모드로 이용했던거 확인해 줘.
193,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행한 내역 있으면 보여 줘.
194,차량 제어,긴급 차량,에스오에스차량 양보,구급 차량 지나간 후에 가자.
195,차선 제어,갓길 이동 정차,갓길 이동 명령,잠깐만 갓길에 차 세워 주라.
196,차선 제어,갓길 이동 정차,갓길 이동 명령,차 많이 안 다니는 갓길에 정차해 줘.
197,차량 제어,공조 제어,에어컨 제어,에어컨 온도 너무 높아.
198,차량 제어,좌석 제어,좌석 온도 올리기,운전석이 좀 더 따뜻했으면 좋겠어.
199,비상 제어,보험사 연락,자동 보험사 연락,차체가 침수되면 보험사에 연락해 줘.
200,비상 제어,보험사 연락,자동 보험사 연락,자동 보험사 연락 기능 설정해 줘.
201,주행 정보,주행 기록,자율 주행 주행 기록,내가 자율 주행 기능을 자주 이용하고 있는지 알려 줘.
202,차량 제어,창문 제어,전체 창문 닫기,바람 많이 부니깐 창 전체 올려 줘.
203,차선 제어,갓길 이동 정차,갓길 이동 명령,넓은 갓길에 세워 줘.
204,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율 주행 모드로 나 데려다 줘.
205,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 모드로 진행해 줘.
206,차량 제어,긴급 차량,에스오에스차량 양보,옆으로 비켜서 구급차 갈 수 있게 길 확보해 줘.
207,차량 제어,속도 제어,주행 속도 세팅,시속 육십 이하로 도로 상황 보며 달려 줘.
208,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에서 잠깐 쉴 게.
209,주행 정보,주행 기록,자율 주행 주행 기록,두 시까지 자율 주행 기록 불러 와 줄 수 있니?
210,차선 제어,갓길 이동 정차,갓길 이동 명령,위급하니까 갓길로 차 이동해 줘.
211,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 기록을 봐야겠어.
212,차량 제어,긴급 차량,에스오에스차량 양보,에스오에스 차량이 지나가면 무조건 양보해.
213,차량 제어,운전 제어,일자 따라 가기,놓치지 말고 잘 붙어서 따라 가자.
214,차량 제어,좌석 제어,좌석 온도 제어,시트 온도 이 단계로 조절해 줘.
215,차선 제어,차선 변경,왼쪽으로 차선 변경,왼쪽 차선에서 다녀.
216,비상 제어,보험사 연락,자동 보험사 연락,자동으로 보험사와 전화 연결되게 설정 할래.
217,차량 제어,운전 제어,일자 추월,앞 차보다 앞질러가자.
218,비상 제어,보험사 연락,자동 보험사 연락,보험 처리가 가능한지 확인 해.
219,차선 제어,차선 변경,오른쪽으로 차선 변경,오른쪽 차선으로 바꿔야 해.
220,차량 제어,운전 제어,일자 추월,전방 차량을 추월해보자.
221,차량 제어,도어 제어,전체 차문 닫기,탑승 후 전체 차 문 닫아.
222,차량 제어,속도 제어,주행 속도 세팅,내가 평소 자주 하는 주행 속도로 세팅해.
223,차량 제어,긴급 차량,에스오에스차량 양보,구급차 지나가게 길 내 줘.
224,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 간 곳들 보여 줄래?
225,비상 제어,보험사 연락,자동 보험사 연락,보험사에 전화할 때는 차량 통화 모드로 전환해 줘.
226,비상 제어,보험사 연락,자동 보험사 연락,사고 나고 내가 말이 없어도 보험사에 자동으로 전화 해.
227,차량 제어,도어 제어,전체 차문 열기,위급 상황이야 전체 차문 다 열어 줘.
228,차량 제어,공조 제어,히터 제어,조수석만 놔두고 히터 다 꺼 줄래?
229,차선 제어,차선 변경,오른쪽으로 차선 변경,오른쪽으로 차선 하나 옆으로 가자.
230,차선 제어,차선 변경,차선 변경,렉카 오니까 일 차로로 차선 변경 시작.
231,차선 제어,갓길 이동 정차,갓길 이동 명령,지금 바로 앞 갓길에 차 세워.
232,차량 제어,긴급 차량,에스오에스차량 양보,뒤에 앰뷸런스에 길 양보하자.
233,차선 제어,차선 변경,차선 변경,반대쪽 차선으로 이동해 줘.
234,차량 제어,좌석 제어,좌석 통풍 켜기,앞 좌석들만 통풍기 켜 봐.
235,비상 제어,차량 비상 정지,비상 정지 모드 켜기,이 신호 지나고 비상 정지 기능 쓰고 싶어.
236,차량 제어,좌석 제어,좌석 온도 내리기,앞 좌석 두 개 온도를 낮게 해 줘.
237,차량 제어,운전 제어,일자 따라 가기,내 앞에 있는 차 계속 따라 가.
238,차량 제어,긴급 차량,에스오에스차량 양보,구급차 진행 통로 확보해 줘.
239,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 얼마야?
240,주행 정보,주행 기록,자율 주행 주행 기록,저번 달 자율 주행 기록표를 볼래.
241,비상 제어,보험사 연락,자동 보험사 연락,비상 상황에 자동으로 보험사에 연락.
242,차량 제어,도어 제어,전체 차문 닫기,지금 안 닫힌 문 있으면 다시 닫고 잠궈 줘.
243,차량 제어,도어 제어,뒷자리 차문 열기,뒷자리 차 문 잠금 해제하고 문 열어 줘.
244,차량 제어,좌석 제어,좌석 온도 올리기,밖에 추우니까 좌석 시트 따뜻하게 해 줘.
245,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 차량 이동 원함.
246,차량 제어,운전 제어,일자 추월,앞에 있는 차 패스해 줘.
247,차량 제어,좌석 제어,좌석 통풍 끄기,좌석 통풍 시스템 종료해.
248,비상 제어,보험사 연락,자동 보험사 연락,보험사에 연락해서 대략적인 과실비율을 산정해달라고 요청해 줘.
249,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,지금 당장 자율 주행 바꿔도 되는지 확인해 줘.
250,차선 제어,갓길 이동 정차,갓길 이동 명령,가장자리에 있는 길로 이동해서 차를 멈춰.
251,차량 제어,속도 제어,주행 속도 세팅,지정 속도 육십으로 맞춰서 달리자.
252,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 애용하는 구간이 뭐야?
253,차량 제어,도어 제어,조수석 차문 열기,조수석 차 문 제일 나중에 열어 줘.
254,차선 제어,갓길 이동 정차,갓길 이동 명령,우측 갓길로 들어가 줘.
255,차량 제어,자율 주행 시작,자율 주행 모드 시작,잠깐 핸들에서 손 뗄 테니까 자율 주행 진행해.
256,차량 제어,창문 제어,조수석 창문 열기,조수석 창문이 열리게 해 줘.
257,차량 제어,공조 제어,에어컨 끄기,추운 것 같으니 에어컨 이제 꺼 줘.
258,차량 제어,도어 제어,전체 차문 열기,짐 내려야 하니까 전체 차 문 다 열어 줘.
259,차량 제어,도어 제어,조수석 차문 닫기,조수석 차 문 잠겼는지 확인 해.
260,차량 제어,운전 제어,일자 따라 가기,지금 저 앞에 달리는 차 뒤 쫓아 가 줘.
261,비상 제어,차량 비상 정지,비상 정지 모드 켜기,자율 주행 중 비상 정지 기능 켜.
262,차선 제어,갓길 이동 정차,갓길 이동 명령,길이 너무 좁으니까 갓길에 잠깐 서 있자.
263,비상 제어,차량 비상 정지,비상 정지 모드 켜기,위급시에 차량비상 정지 기능 켜 줄래?
264,차량 제어,창문 제어,시동석 창문 열기,운전석 창문 삼분의 일만 열어.
265,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능한 환경인지 파악해 줘.
266,비상 제어,보험사 연락,자동 보험사 연락,사고났을 땐 보험사 직원부터 불러 줘.
267,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 켜도 문제 없어?
268,차량 제어,공조 제어,히터 제어,조수석 히터 바람 꺼.
269,차선 제어,차선 변경,왼쪽으로 차선 변경,왼쪽 차선이 훨씬 빠를 거 같아.
270,차량 제어,긴급 차량,에스오에스차량 양보,구급차한테 비켜 줘.
271,차량 제어,운전 제어,일자 추월,앞 차 제치고 앞으로가 줘.
272,차량 제어,긴급 차량,에스오에스차량 양보,앰뷸런스에게 양보해야 해.
273,차량 제어,운전 제어,일자 추월,앞 차보다 더 앞에 있어 줘.
274,차량 제어,창문 제어,전체 창문 열기,답답하니까 창문 다 열어.
275,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,지금 자율 주행 모드 켜도 문제 없지?
276,차량 제어,공조 제어,에어컨 제어,에어컨 바람 아래쪽으로만 나오게 해.
277,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행이 가능한 환경인지 둘러봐 줘.
278,차량 제어,긴급 차량,에스오에스차량 양보,잠시 멈추고 양보해야 해.
279,차량 제어,속도 제어,주행 속도 세팅,도로 교통법에 맞는 속도로 주행해 줘.
280,차량 제어,좌석 제어,좌석 온도 내리기,시트 온도 낮게해 줘.
281,비상 제어,차량 비상 정지,비상 정지 모드 끄기,위험 구간 지난거 같아 비상 정지 기능 지금 꺼.
282,주행 정보,주행 기록,자율 주행 주행 기록,이 년 안에 자율 주행했던 기록 알려 줘.
283,차량 제어,좌석 제어,좌석 통풍 켜기,좌석에 통풍이 되길 원해.
284,차량 제어,좌석 제어,좌석 통풍 켜기,운전석 시트에 통풍 기능 넣어 줘.
285,차량 제어,공조 제어,에어컨 끄기,에어컨 이제 그만 꺼야 할 것 같아.
286,차량 제어,좌석 제어,좌석 온도 올리기,좌석 제어 따뜻하게.
287,차량 제어,도어 제어,조수석 차문 열기,조수석에 탈수 있게 차 문 열어.
288,비상 제어,보험사 연락,자동 보험사 연락,보험사와 통화 연결 자동으로 해 놔.
